Year,Winner,Runner-up,Winner Country,Runner-up Country
1886, Wilhelm Steinitz, Johannes Zukertort,Austria,Poland
1889, Wilhelm Steinitz, Mikhail Chigorin,Austria,Russia
1890, Wilhelm Steinitz, Isidor Gunsberg,Austria,Hungary
1892, Mikhail Chigorin, Wilhelm Steinitz,Russia,Austria
1894, Emanuel Lasker, Wilhelm Steinitz,Germany,Austria
1896, Emanuel Lasker, Wilhelm Steinitz,Germany,Austria
1907, Emanuel Lasker, Frank Marshall,Germany,USA
1908, Emanuel Lasker, Siegbert Tarrasch,Germany,Germany
1909, Emanuel Lasker, David Janowski,Germany,Poland
1921,Jose Raul Capablanca, Emanuel Lasker,Cuba,Germany
1927, Alexander Alekhine,Jose Raul Capablanca,USSR,Cuba
1929, Alexander Alekhine, Efim Bogoljubow,USSR,Germany
1934, Alexander Alekhine, Efim Bogoljubow,USSR,Germany
1935, Max Euwe, Alexander Alekhine,Germany,USSR
1937, Alexander Alekhine, Max Euwe,USSR,Germany
1948, Mikhail Botvinnik, Vasily Smyslov,USSR,USSR
1951, Mikhail Botvinnik, David Bronstein,USSR,USSR
1954, Mikhail Botvinnik, Vasily Smyslov,USSR,USSR
1957, Vasily Smyslov, Mikhail Botvinnik,USSR,USSR
1958, Mikhail Botvinnik, Vasily Smyslov,USSR,USSR
1960, Mikhail Tal, Mikhail Botvinnik,USSR,USSR
1961, Mikhail Tal, Mikhail Botvinnik,USSR,USSR
1963, Tigran Petrosian, Mikhail Botvinnik,Armenia,USSR
1966, Tigran Petrosian, Boris Spassky,Armenia,USSR
1969, Boris Spassky, Tigran Petrosian,USSR,Armenia
1972, Bobby Fischer, Boris Spassky,USA,USSR
1978, Anatoly Karpov, Viktor Korchnoi,USSR,Switzeland
1981, Anatoly Karpov, Viktor Korchnoi,USSR,Switzeland
1984, Anatoly Karpov, Garry Kasparov,USSR,USSR
1985, Garry Kasparov, Anatoly Karpov,USSR,USSR
1986, Garry Kasparov, Anatoly Karpov,USSR,USSR
1987, Garry Kasparov, Anatoly Karpov,USSR,USSR
1990, Garry Kasparov, Anatoly Karpov,USSR,USSR
1993, Anatoly Karpov,Jan Timman,Russia,USA
1995, Viswanathan Anand, Garry Kasparov,India,Russia
1996, Anatoly Karpov,Gata Kamsky,Russia,USA
1998, Anatoly Karpov, Viswanathan Anand,Russia,India
2002, Ruslan Ponomariov, Vasily Ivanchuk,Ukraine,Ukraine
2005, Veselin Topalov,Michael Adams,Bulgaria,USA
2006, Vladimir Kramnik, Veselin Topalov,Russia,Bulgaria
2007, Viswanathan Anand,Peter Svidler,India,Russia
2008, Viswanathan Anand, Vladimir Kramnik,India,Russia
2010, Viswanathan Anand, Veselin Topalov,India,Bulgaria
2012, Viswanathan Anand, Boris Gelfand,India,Israel
2013, Magnus Carlsen, Viswanathan Anand,Norway,India
2014, Magnus Carlsen, Viswanathan Anand,Norway,India
2016, Magnus Carlsen, Sergey Karjakin,Norway,Russia
2018, Magnus Carlsen, Fabiano Caruana,Norway,Italy
2021, Magnus Carlsen, Ian Nepomniachtchi,Norway,Russia
2023,Ding Liren, Ian Nepomniachtchi,China,Russia
