Rank,CCA3,Country/Territory,Capital,Continent,2020 Population
36,AFG,Afghanistan,Kabul,Asia,38972230
138,ALB,Albania,Tirana,Europe,2866849
34,DZA,Algeria,Algiers,Africa,43451666
213,ASM,American Samoa,Pago Pago,Oceania,46189
203,AND,Andorra,Andorra la Vella,Europe,77700
42,AGO,Angola,Luanda,Africa,33428485
224,AIA,Anguilla,The Valley,North America,15585
201,ATG,Antigua and Barbuda,Saint John’s,North America,92664
33,ARG,Argentina,Buenos Aires,South America,45036032
140,ARM,Armenia,Yerevan,Asia,2805608
198,ABW,Aruba,Oranjestad,North America,106585
55,AUS,Australia,Canberra,Oceania,25670051
99,AUT,Austria,Vienna,Europe,8907777
91,AZE,Azerbaijan,Baku,Asia,10284951
176,BHS,Bahamas,Nassau,North America,406471
154,BHR,Bahrain,Manama,Asia,1477469
8,BGD,Bangladesh,Dhaka,Asia,167420951
186,BRB,Barbados,Bridgetown,North America,280693
96,BLR,Belarus,Minsk,Europe,9633740
81,BEL,Belgium,Brussels,Europe,11561717
177,BLZ,Belize,Belmopan,North America,394921
77,BEN,Benin,Porto-Novo,Africa,12643123
206,BMU,Bermuda,Hamilton,North America,64031
165,BTN,Bhutan,Thimphu,Asia,772506
80,BOL,Bolivia,Sucre,South America,11936162
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3318407
144,BWA,Botswana,Gaborone,Africa,2546402
7,BRA,Brazil,Brasilia,South America,213196304
221,VGB,British Virgin Islands,Road Town,North America,30910
175,BRN,Brunei,Bandar Seri Begawan,Asia,441725
108,BGR,Bulgaria,Sofia,Europe,6979175
58,BFA,Burkina Faso,Ouagadougou,Africa,21522626
78,BDI,Burundi,Bujumbura,Africa,12220227
73,KHM,Cambodia,Phnom Penh,Asia,16396860
53,CMR,Cameroon,Yaounde,Africa,26491087
39,CAN,Canada,Ottawa,North America,37888705
171,CPV,Cape Verde,Praia,Africa,582640
205,CYM,Cayman Islands,George Town,North America,67311
117,CAF,Central African Republic,Bangui,Africa,5343020
69,TCD,Chad,N'Djamena,Africa,16644701
65,CHL,Chile,Santiago,South America,19300315
1,CHN,China,Beijing,Asia,1424929781
28,COL,Colombia,Bogota,South America,50930662
163,COM,Comoros,Moroni,Africa,806166
223,COK,Cook Islands,Avarua,Oceania,17029
124,CRI,Costa Rica,San José,North America,5123105
130,HRV,Croatia,Zagreb,Europe,4096868
85,CUB,Cuba,Havana,North America,11300698
189,CUW,Curacao,Willemstad,North America,189288
158,CYP,Cyprus,Nicosia,Europe,1237537
88,CZE,Czech Republic,Prague,Europe,10530953
115,DNK,Denmark,Copenhagen,Europe,5825641
160,DJI,Djibouti,Djibouti,Africa,1090156
204,DMA,Dominica,Roseau,North America,71995
84,DOM,Dominican Republic,Santo Domingo,North America,10999664
15,COD,DR Congo,Kinshasa,Africa,92853164
67,ECU,Ecuador,Quito,South America,17588595
14,EGY,Egypt,Cairo,Africa,107465134
112,SLV,El Salvador,San Salvador,North America,6292731
152,GNQ,Equatorial Guinea,Malabo,Africa,1596049
132,ERI,Eritrea,Asmara,Africa,3555868
156,EST,Estonia,Tallinn,Europe,1329444
159,SWZ,Eswatini,Mbabane,Africa,1180655
12,ETH,Ethiopia,Addis Ababa,Africa,117190911
231,FLK,Falkland Islands,Stanley,South America,3747
209,FRO,Faroe Islands,Tórshavn,Europe,52415
162,FJI,Fiji,Suva,Oceania,920422
118,FIN,Finland,Helsinki,Europe,5529468
23,FRA,France,Paris,Europe,64480053
184,GUF,French Guiana,Cayenne,South America,290969
183,PYF,French Polynesia,Papeete,Oceania,301920
146,GAB,Gabon,Libreville,Africa,2292573
142,GMB,Gambia,Banjul,Africa,2573995
131,GEO,Georgia,Tbilisi,Asia,3765912
19,DEU,Germany,Berlin,Europe,83328988
47,GHA,Ghana,Accra,Africa,32180401
219,GIB,Gibraltar,Gibraltar,Europe,32709
90,GRC,Greece,Athens,Europe,10512232
208,GRL,Greenland,Nuuk,North America,56026
193,GRD,Grenada,Saint George's,North America,123663
178,GLP,Guadeloupe,Basse-Terre,North America,395642
191,GUM,Guam,Hagåtña,Oceania,169231
68,GTM,Guatemala,Guatemala City,North America,17362718
207,GGY,Guernsey,Saint Peter Port,Europe,62794
75,GIN,Guinea,Conakry,Africa,13205153
149,GNB,Guinea-Bissau,Bissau,Africa,2015828
164,GUY,Guyana,Georgetown,South America,797202
82,HTI,Haiti,Port-au-Prince,North America,11306801
89,HND,Honduras,Tegucigalpa,North America,10121763
104,HKG,Hong Kong,Hong Kong,Asia,7500958
94,HUN,Hungary,Budapest,Europe,9750573
179,ISL,Iceland,Reykjavík,Europe,366669
2,IND,India,New Delhi,Asia,1396387127
4,IDN,Indonesia,Jakarta,Asia,271857970
17,IRN,Iran,Tehran,Asia,87290193
35,IRQ,Iraq,Baghdad,Asia,42556984
125,IRL,Ireland,Dublin,Europe,4946119
202,IMN,Isle of Man,Douglas,Europe,84046
98,ISR,Israel,Jerusalem,Asia,8757489
25,ITA,Italy,Rome,Europe,59500579
52,CIV,Ivory Coast,Yamoussoukro,Africa,26811790
139,JAM,Jamaica,Kingston,North America,2820436
11,JPN,Japan,Tokyo,Asia,125244761
195,JEY,Jersey,Saint Helier,Europe,108319
83,JOR,Jordan,Amman,Asia,10928721
66,KAZ,Kazakhstan,Nursultan,Asia,18979243
27,KEN,Kenya,Nairobi,Africa,51985780
192,KIR,Kiribati,Tarawa,Oceania,126463
129,KWT,Kuwait,Kuwait City,Asia,4360444
110,KGZ,Kyrgyzstan,Bishkek,Asia,6424874
103,LAO,Laos,Vientiane,Asia,7319399
151,LVA,Latvia,Riga,Europe,1897052
119,LBN,Lebanon,Beirut,Asia,5662923
147,LSO,Lesotho,Maseru,Africa,2254100
121,LBR,Liberia,Monrovia,Africa,5087584
107,LBY,Libya,Tripoli,Africa,6653942
216,LIE,Liechtenstein,Vaduz,Europe,38756
141,LTU,Lithuania,Vilnius,Europe,2820267
168,LUX,Luxembourg,Luxembourg,Europe,630399
167,MAC,Macau,Concelho de Macau,Asia,676283
50,MDG,Madagascar,Antananarivo,Africa,28225177
62,MWI,Malawi,Lilongwe,Africa,19377061
45,MYS,Malaysia,Kuala Lumpur,Asia,33199993
174,MDV,Maldives,Malé,Asia,514438
59,MLI,Mali,Bamako,Africa,21224040
173,MLT,Malta,Valletta,Europe,515357
215,MHL,Marshall Islands,Majuro,Oceania,43413
180,MTQ,Martinique,Fort-de-France,North America,370391
126,MRT,Mauritania,Nouakchott,Africa,4498604
157,MUS,Mauritius,Port Louis,Africa,1297828
182,MYT,Mayotte,Mamoudzou,Africa,305587
10,MEX,Mexico,Mexico City,North America,125998302
194,FSM,Micronesia,Palikir,Oceania,112106
135,MDA,Moldova,Chisinau,Europe,3084847
217,MCO,Monaco,Monaco,Europe,36922
134,MNG,Mongolia,Ulaanbaatar,Asia,3294335
169,MNE,Montenegro,Podgorica,Europe,629048
230,MSR,Montserrat,Brades,North America,4500
40,MAR,Morocco,Rabat,Africa,36688772
48,MOZ,Mozambique,Maputo,Africa,31178239
26,MMR,Myanmar,Nay Pyi Taw,Asia,53423198
145,NAM,Namibia,Windhoek,Africa,2489098
225,NRU,Nauru,Yaren,Oceania,12315
49,NPL,Nepal,Kathmandu,Asia,29348627
71,NLD,Netherlands,Amsterdam,Europe,17434557
185,NCL,New Caledonia,Nouméa,Oceania,286403
123,NZL,New Zealand,Wellington,Oceania,5061133
106,NIC,Nicaragua,Managua,North America,6755895
54,NER,Niger,Niamey,Africa,24333639
6,NGA,Nigeria,Abuja,Africa,208327405
232,NIU,Niue,Alofi,Oceania,1942
56,PRK,North Korea,Pyongyang,Asia,25867467
150,MKD,North Macedonia,Skopje,Europe,2111072
210,NFK,Northern Mariana Islands,Saipan,Oceania,49587
120,NOR,Norway,Oslo,Europe,5379839
127,OMN,Oman,Muscat,Asia,4543399
5,PAK,Pakistan,Islamabad,Asia,227196741
222,PLW,Palau,Ngerulmud,Oceania,17972
122,PSE,Palestine,Ramallah,Asia,5019401
128,PAN,Panama,Panama City,North America,4294396
93,PNG,Papua New Guinea,Port Moresby,Oceania,9749640
109,PRY,Paraguay,Asunción,South America,6618695
44,PER,Peru,Lima,South America,33304756
13,PHL,Philippines,Manila,Asia,112190977
37,POL,Poland,Warsaw,Europe,38428366
92,PRT,Portugal,Lisbon,Europe,10298192
136,PRI,Puerto Rico,San Juan,North America,3271564
143,QAT,Qatar,Doha,Asia,2760385
114,COG,Republic of the Congo,Brazzaville,Africa,5702174
161,REU,Reunion,Saint-Denis,Africa,957822
64,ROU,Romania,Bucharest,Europe,19442038
9,RUS,Russia,Moscow,Europe,145617329
76,RWA,Rwanda,Kigali,Africa,13146362
228,BLM,Saint Barthelemy,Gustavia,North America,10681
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47642
190,LCA,Saint Lucia,Castries,North America,179237
220,MAF,Saint Martin,Marigot,North America,32552
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5906
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,104632
188,WSM,Samoa,Apia,Oceania,214929
218,SMR,San Marino,San Marino,Europe,34007
187,STP,Sao Tome and Principe,São Tomé,Africa,218641
41,SAU,Saudi Arabia,Riyadh,Asia,35997107
72,SEN,Senegal,Dakar,Africa,16436119
105,SRB,Serbia,Belgrade,Europe,7358005
196,SYC,Seychelles,Victoria,Africa,105530
102,SLE,Sierra Leone,Freetown,Africa,8233969
113,SGP,Singapore,Singapore,Asia,5909869
214,SXM,Sint Maarten,Philipsburg,North America,43621
116,SVK,Slovakia,Bratislava,Europe,5456681
148,SVN,Slovenia,Ljubljana,Europe,2117641
166,SLB,Solomon Islands,Honiara,Oceania,691191
70,SOM,Somalia,Mogadishu,Africa,16537016
24,ZAF,South Africa,Pretoria,Africa,58801927
29,KOR,South Korea,Seoul,Asia,51844690
86,SSD,South Sudan,Juba,Africa,10606227
30,ESP,Spain,Madrid,Europe,47363807
61,LKA,Sri Lanka,Colombo,Asia,21715079
32,SDN,Sudan,Khartoum,Africa,44440486
170,SUR,Suriname,Paramaribo,South America,607065
87,SWE,Sweden,Stockholm,Europe,10368969
101,CHE,Switzerland,Bern,Europe,8638613
60,SYR,Syria,Damascus,Asia,20772595
57,TWN,Taiwan,Taipei,Asia,23821464
95,TJK,Tajikistan,Dushanbe,Asia,9543207
22,TZA,Tanzania,Dodoma,Africa,61704518
20,THA,Thailand,Bangkok,Asia,71475664
155,TLS,Timor-Leste,Dili,Asia,1299995
100,TGO,Togo,Lomé,Africa,8442580
233,TKL,Tokelau,Nukunonu,Oceania,1827
197,TON,Tonga,Nuku‘alofa,Oceania,105254
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1518147
79,TUN,Tunisia,Tunis,Africa,12161723
18,TUR,Turkey,Ankara,Asia,84135428
111,TKM,Turkmenistan,Ashgabat,Asia,6250438
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,44276
227,TUV,Tuvalu,Funafuti,Oceania,11069
31,UGA,Uganda,Kampala,Africa,44404611
38,UKR,Ukraine,Kiev,Europe,43909666
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9287289
21,GBR,United Kingdom,London,Europe,67059474
3,USA,United States,"Washington, D.C.",North America,335942003
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,100442
133,URY,Uruguay,Montevideo,South America,3429086
43,UZB,Uzbekistan,Tashkent,Asia,33526656
181,VUT,Vanuatu,Port-Vila,Oceania,311685
234,VAT,Vatican City,Vatican City,Europe,520
51,VEN,Venezuela,Caracas,South America,28490453
16,VNM,Vietnam,Hanoi,Asia,96648685
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11655
172,ESH,Western Sahara,El Aaiún,Africa,556048
46,YEM,Yemen,Sanaa,Asia,32284046
63,ZMB,Zambia,Lusaka,Africa,18927715
74,ZWE,Zimbabwe,Harare,Africa,15669666
